#Orbital	B	U	N	Q
1	424.358657	602.831309	1	1
2	308.944719	435.151536	1	1
3	308.084920	435.154910	1	1
4	307.362458	436.379913	1	1
5	33.544455	58.433921	1	1
6	30.374574	51.206495	1	1
7	24.744402	47.646130	1	1
8	18.198132	44.035234	1	1
9	16.112000	53.918192	1	1
10	13.461000	30.998694	1	1
11	14.436000	30.998694	1	1
12	14.436000	35.059803	1	1
13	12.336000	35.059803	1	1
1	425.130862	601.289947	1	1
2	307.968156	434.972513	1	1
3	307.491794	436.086683	1	1
4	307.242919	436.672381	1	1
5	34.755770	61.915700	1	1
6	29.847653	48.902344	1	1
7	23.534747	47.905591	1	1
8	14.422000	56.189744	1	1
9	14.528000	36.053236	1	1
10	14.528000	36.053236	1	1
11	11.896000	36.820870	1	1
12	11.896000	36.820870	1	1
