#Orbital	B	U	N	Q
1	563.936796	793.913201	1	1
2	41.067000	793.917582	1	1
3	41.065000	793.975025	1	1
4	26.493000	602.474432	1	1
5	23.399000	69.554344	1	1
6	23.399000	79.250169	1	1
7	22.963000	79.249298	1	1
8	14.952000	84.387298	1	1
9	14.952000	69.531459	1	1
10	13.052000	69.530371	1	1
11	13.920000	51.199584	1	1
12	13.920000	71.503060	1	1
13	18.074592	71.505264	1	1
14	16.793153	78.321798	1	1
15	15.921681	67.218029	1	1
16	15.920756	67.217213	1	1
1	563.359751	795.059889	1	1
2	39.579000	795.078120	1	1
3	39.578000	795.085821	1	1
4	0.351000	602.356525	1	1
5	22.925000	67.875102	1	1
6	19.964000	76.152316	1	1
7	19.964000	76.151908	1	1
8	13.618000	82.550284	1	1
9	13.618000	50.082121	1	1
10	13.707000	70.443939	1	1
11	13.707000	70.442605	1	1
12	15.168878	65.550760	1	1
13	15.168198	65.550297	1	1
14	12.828672	58.030730	1	1
15	12.828318	58.031410	1	1
