#Orbital	B	U	N	Q
1	307.7853	435.1081	1	1
2	307.5660	435.1720	1	1
3	307.1977	436.3873	1	1
4	307.0982	436.1318	1	1
5	306.9315	434.9752	1	1
6	306.7580	436.3279	1	1
7	31.4672	49.2842	1	1
8	30.1965	49.1555	1	1
9	29.0318	52.3104	1	1
10	24.2931	45.6562	1	1
11	20.1285	40.9858	1	1
12	18.4186	33.7424	1	1
13	14.2762	26.3689	1	1
14	14.1118	26.5316	1	1
15	12.7564	28.1205	1	1
16	12.4468	28.3934	1	1
17	10.9681	33.9451	1	1
18	10.8582	32.0093	1	1
19	10.4982	32.4542	1	1
20	307.5736	435.0545	1	1
21	307.2536	436.2828	1	1
22	307.2311	436.2050	1	1
23	307.1511	435.3046	1	1
24	307.0564	436.3677	1	1
25	306.5282	436.1833	1	1
26	31.0754	49.6956	1	1
27	29.6250	50.6295	1	1
28	27.7583	51.2548	1	1
29	21.4230	41.0144	1	1
30	19.9530	41.1420	1	1
31	18.1905	32.2221	1	1
32	14.0716	26.5602	1	1
33	13.8166	27.1991	1	1
34	12.3540	28.5638	1	1
35	10.7662	33.3097	1	1
36	11.7844	30.3099	1	1
37	10.1858	32.2139	1	1
