#Orbital	B	U	N	Q
1	561.8985	793.8490	1	1
2	309.4565	435.9172	1	1
3	306.8221	435.3498	1	1
4	41.0919	78.0994	1	1
5	29.4672	48.0406	1	1
6	18.9293	56.7398	1	1
7	18.1103	40.1817	1	1
8	16.4871	47.0308	1	1
9	15.9361	46.5358	1	1
10	11.2908	36.4344	1	1
11	10.6470	36.7395	1	1
12	561.4693	794.6759	1	1
13	309.6224	435.7436	1	1
14	306.3150	436.3196	1	1
15	40.1967	75.5633	1	1
16	27.9760	50.1536	1	1
17	18.5173	55.3689	1	1
18	17.7037	39.5673	1	1
19	15.9412	45.2637	1	1
20	15.4645	43.8892	1	1
21	10.0206	38.3694	1	1
