#Orbital	B	U	N	Q
1	307.185557	435.783385	2	1
2	307.039704	435.817889	2	1
3	307.039595	435.804283	2	1
4	306.616812	435.802052	2	1
5	306.612921	435.872611	2	1
6	306.474551	435.904122	2	1
7	306.474551	435.899686	2	1
8	30.560183	46.906443	2	1
9	29.684357	45.860982	2	1
10	28.290399	45.027361	2	1
11	26.502258	45.329244	2	1
12	24.292475	46.513701	2	1
13	21.905084	47.117767	2	1
14	16.239000	37.906740	2	1
15	16.135000	38.404055	2	1
16	17.117000	26.493087	2	1
17	17.117000	26.493087	2	1
18	14.106000	27.595393	2	1
19	14.106000	27.595393	2	1
20	11.818000	28.632719	2	1
21	11.818000	28.632746	2	1
22	8.533000	30.837739	2	1
23	8.533000	30.837766	2	1
