#Orbital	B	U	N	Q
1	307.804562	435.081902	1	1
2	307.536529	435.139563	1	1
3	307.410405	435.102719	1	1
4	307.186537	436.384403	1	1
5	307.106753	436.115309	1	1
6	306.860789	436.118602	1	1
7	306.729603	434.955914	1	1
8	306.591614	436.353599	1	1
9	31.672503	49.710141	1	1
10	30.821793	49.884457	1	1
11	29.833421	50.482673	1	1
12	28.975800	53.528742	1	1
13	24.611502	45.890261	1	1
14	23.210306	46.302623	1	1
15	21.801028	46.315058	1	1
16	18.146000	37.292035	1	1
17	14.340000	28.631168	1	1
18	14.213000	28.590405	1	1
19	13.414000	29.297329	1	1
20	13.227000	29.295697	1	1
21	10.931000	39.385026	1	1
22	12.004000	31.050477	1	1
23	11.713000	30.789738	1	1
24	10.452000	33.841141	1	1
25	10.200000	33.987892	1	1
1	307.588340	435.002418	1	1
2	307.301858	435.083481	1	1
3	307.257477	436.270115	1	1
4	307.220360	436.201896	1	1
5	307.029690	436.335177	1	1
6	306.975676	435.977511	1	1
7	306.941362	435.572959	1	1
8	306.370848	436.127854	1	1
9	31.365041	50.012814	1	1
10	30.475310	50.613831	1	1
11	29.236376	51.880032	1	1
12	27.858500	51.630041	1	1
13	24.440043	46.249207	1	1
14	23.052452	46.555335	1	1
15	21.694550	46.403278	1	1
16	17.966000	35.913288	1	1
17	14.184000	28.480498	1	1
18	14.017000	28.318318	1	1
19	13.175000	29.181844	1	1
20	12.859000	29.439237	1	1
21	10.734000	39.153729	1	1
22	11.583000	30.613190	1	1
23	11.036000	32.112021	1	1
24	9.979000	33.322465	1	1
