#Orbital	B	U	N	Q
1	425.684858	601.408127	1	1
2	309.763645	435.921020	1	1
3	307.263245	435.737452	1	1
4	35.736904	63.910675	1	1
5	27.813819	45.303448	1	1
6	15.252000	56.739550	1	1
7	15.173000	38.083260	1	1
8	15.161000	37.895611	1	1
9	13.463000	41.642428	1	1
10	11.175000	39.086707	1	1
1	425.110861	602.564610	1	1
2	309.184505	437.073177	1	1
3	307.634980	435.127291	1	1
4	34.692232	61.762717	1	1
5	26.212592	45.759538	1	1
6	14.494000	54.927979	1	1
7	14.994000	33.668512	1	1
8	14.707000	34.295626	1	1
9	12.616000	39.836354	1	1
