#Orbital	B	U	N	Q
1	563.580735	793.649033	1	1
2	310.616532	435.879278	1	1
3	308.118200	435.624334	1	1
4	42.447314	78.964069	1	1
5	30.047003	46.456748	1	1
6	22.227322	72.060812	1	1
7	17.382000	55.638659	1	1
8	17.382000	55.638659	1	1
9	12.890000	42.566282	1	1
10	11.546000	37.802711	1	1
11	11.546000	37.802711	1	1
1	562.857483	795.019670	1	1
2	310.666710	435.966000	1	1
3	307.392744	437.189832	1	1
4	40.987749	74.945682	1	1
5	26.252865	49.434163	1	1
6	21.138403	70.046707	1	1
7	16.432000	48.057485	1	1
8	16.432000	48.057485	1	1
9	11.128000	38.572113	1	1
