#Orbital	B	U	N	Q
1	562.185743	794.081966	1	1
2	560.621252	794.084361	1	1
3	310.435304	435.961429	1	1
4	41.039315	71.058345	1	1
5	38.790022	77.481402	1	1
6	23.882944	60.542178	1	1
7	18.247000	52.911860	1	1
8	17.189000	67.230029	1	1
9	16.656000	51.242659	1	1
10	14.507000	62.136520	1	1
11	13.404000	61.012527	1	1
12	9.940000	59.975773	1	1
1	561.958174	794.487388	1	1
2	560.355152	794.541158	1	1
3	309.838068	436.327041	1	1
4	40.215245	69.982760	1	1
5	38.040620	76.049430	1	1
6	23.084018	57.289057	1	1
7	17.225000	66.130172	1	1
8	16.737000	60.881803	1	1
9	16.264000	51.912495	1	1
10	13.284000	61.726254	1	1
11	13.536000	56.115756	1	1
