#Orbital	B	U	N	Q
1	425.748560	602.191787	2	1
2	425.748560	602.206753	2	1
3	309.039931	435.318723	2	1
4	308.947739	436.240808	2	1
5	308.693857	435.674675	2	1
6	308.693558	435.733370	2	1
7	34.630897	58.823126	2	1
8	34.533045	59.694026	2	1
9	31.190045	50.493503	2	1
10	27.067302	48.066002	2	1
11	24.105261	49.164553	2	1
12	14.374000	55.850826	2	1
13	14.338000	55.546004	2	1
14	15.528000	30.834038	2	1
15	15.528000	30.834038	2	1
16	14.427000	35.880281	2	1
17	14.427000	35.880281	2	1
18	12.230000	37.336008	2	1
19	12.230000	37.336008	2	1
