#Orbital	B	U	N	Q
1	2177.886564	2890.225879	1	1
2	560.419860	794.236227	1	1
3	206.067474	431.845761	1	1
4	148.951645	402.946561	1	1
5	148.656783	401.440819	1	1
6	148.606442	402.217133	1	1
7	36.964246	78.125767	1	1
8	20.900000	64.099903	1	1
9	13.889000	57.298717	1	1
10	13.966000	59.408851	1	1
11	13.761000	51.964632	1	1
12	8.622000	45.547371	1	1
1	2177.740303	2890.342970	1	1
2	560.062792	794.885083	1	1
3	205.900342	431.813788	1	1
4	148.599720	401.458343	1	1
5	148.567801	402.253324	1	1
6	148.189862	401.997428	1	1
7	36.065536	76.220236	1	1
8	17.618000	66.520928	1	1
9	13.490000	55.797138	1	1
10	13.521000	50.272437	1	1
11	12.974000	51.642884	1	1
