Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	602.83131	424.35866	***		***		***
2	435.15154	308.94472	***		***		***
3	435.15491	308.08492	***		***		***
4	436.37991	307.36246	18.19800	16.11200	0.869
5	58.43392	33.54446	15.56200	13.46100	0.862
6	51.20650	30.37457	15.05600	14.43600	0.872
7	47.64613	24.74440	15.05600	14.43600	0.872
8	44.03523	18.19813	12.66200	12.33600	0.895
9	53.91819	15.56227	12.66200	12.33600	0.895
10	30.99869	15.05552	-1.15200	-0.95200	0.989
11	30.99869	15.05552	***		***		***
12	35.05980	12.66192	***		***		***
13	35.05980	12.66192	***		***		***
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	601.28995	425.13086	***		***		***
2	434.97251	307.96816	***		***		***
3	436.08668	307.49179	***		***		***
4	436.67238	307.24292	16.82000	14.42200	0.848
5	61.91570	34.75577	15.65000	14.52800	0.854
6	48.90234	29.84765	15.65000	14.52800	0.854
7	47.90559	23.53475	12.49500	11.89600	0.891
8	56.18974	16.82036	12.49500	11.89600	0.891
9	36.05324	15.65019	0.44800	2.77600	0.918
10	36.05324	15.65019	***		***		***
11	36.82087	12.49463	***		***		***
12	36.82087	12.49463	***		***		***
