#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   794.35193	   562.02675	         ***	     ***
    2	   794.31294	   562.02552	         ***	     ***
    3	   435.93811	   311.93922	         ***	     ***
    4	    74.59928	    41.62885	         ***	     ***
    5	    77.45305	    40.18629	         ***	     ***
    6	    73.92659	    21.81314	         ***	     ***
    7	    70.65134	    20.22320	         ***	     ***
    8	    49.99605	    19.43459	    18.33400	   0.896
    9	    49.99605	    19.43459	    18.02700	   0.873
   10	    63.64683	    14.82231	    18.02700	   0.873
   11	    63.64683	    14.82231	    13.93400	   0.897
