Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.30640	306.40165	***		***		***
2	435.07466	305.73108	***		***		***
3	436.22538	305.44928	***		***		***
4	45.73173	29.22873	***		***		***
5	43.89793	26.61015	***		***		***
6	34.94320	19.93068	19.93100	18.18400	0.862
7	37.36806	17.68892	17.68900	16.24500	0.882
8	26.92934	16.87555	16.87600	15.75800	0.882
9	28.53378	13.41083	13.41100	12.20700	0.854
10	29.91304	11.05868	11.05900	10.91000	0.897
11	32.51807	9.66706		9.66700		8.91700		0.901
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.24942	305.90676	***		***		***
2	436.41303	305.81767	***		***		***
3	436.26021	305.21679	***		***		***
4	47.25350	28.85261	***		***		***
5	42.25792	24.67741	***		***		***
6	32.61524	19.54398	19.54400	17.82000	0.867
7	36.79943	17.50832	17.50800	16.05200	0.884
8	26.09501	16.72787	16.72800	15.55300	0.884
9	28.41832	11.63314	11.63300	11.54100	0.898
10	30.18657	10.81908	10.81900	10.76500	0.903
