Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.33149	559.43220	***		***		***
2	436.04004	308.45453	***		***		***
3	435.86396	306.70457	***		***		***
4	435.83936	306.28851	***		***		***
5	72.31744	37.84415	***		***		***
6	42.13803	29.76999	***		***		***
7	44.20245	24.23092	***		***		***
8	34.43223	21.53044	***		***		***
9	47.83383	18.35683	18.35700	16.37800	0.860
10	36.29604	18.23669	18.23700	16.36800	0.853
11	48.22312	16.50150	16.50200	14.92600	0.882
12	33.93984	15.32289	15.32300	14.08100	0.889
13	42.47444	14.79238	14.79200	14.06000	0.855
14	56.82067	11.79148	11.79100	10.11900	0.879
15	32.04960	10.95775	10.95800	11.11200	0.898
