Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	602.11780	423.72833	***		***		***
2	435.87198	307.09323	***		***		***
3	435.66118	306.87167	***		***		***
4	435.92181	306.82604	***		***		***
5	435.84997	306.16845	***		***		***
6	58.30358	32.99625	***		***		***
7	41.77478	30.51137	***		***		***
8	39.06252	27.12883	***		***		***
9	39.39953	22.74015	***		***		***
10	32.83957	20.06984	20.07000	18.11600	0.848
11	32.21417	17.47322	17.47300	16.09200	0.878
12	25.44961	16.42711	16.42700	15.40800	0.891
13	39.86308	15.93801	15.93800	14.41300	0.874
14	40.45549	15.06254	15.06300	13.54600	0.879
15	39.81796	14.76795	14.76800	13.29100	0.878
16	32.10220	13.82548	13.82500	13.40900	0.865
17	37.61199	12.50031	12.50000	12.37800	0.873
18	33.27406	10.33314	10.33300	10.48400	0.893
