#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   436.50122	   308.99707	         ***	     ***
    2	   436.44408	   308.99699	         ***	     ***
    3	   435.50137	   308.21586	         ***	     ***
    4	   436.06233	   308.15888	         ***	     ***
    5	    47.17682	    31.23576	         ***	     ***
    6	    47.85528	    28.41103	         ***	     ***
    7	    48.12404	    24.48415	         ***	     ***
    8	    28.10708	    14.79271	    13.61500	   0.770
    9	    40.74976	    14.12845	    12.07800	   0.810
   10	    39.72544	    13.76586	    11.81700	   0.820
   11	    27.26869	    13.49385	    13.98900	   0.874
   12	    30.50554	    10.62945	    10.77300	   0.879
