Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.39881	306.67616	***		***		***
2	435.69133	306.64321	***		***		***
3	436.04908	306.45719	***		***		***
4	436.15999	306.45509	***		***		***
5	47.61731	29.73758	***		***		***
6	49.27884	27.73746	***		***		***
7	43.63267	23.28378	***		***		***
8	34.11374	20.01855	20.01900	18.04600	0.847
9	36.71913	19.25546	19.25500	17.42700	0.859
10	27.79442	13.41276	13.41300	12.91700	0.849
11	27.79442	13.41276	13.41300	12.91700	0.849
12	30.39457	10.01997	10.02000	10.36500	0.891
13	30.39457	10.01997	10.02000	10.36500	0.891
