#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   435.85969	   305.72716	         ***	     ***
    2	   435.75811	   305.69007	         ***	     ***
    3	   435.70730	   305.60368	         ***	     ***
    4	   436.02616	   305.57579	         ***	     ***
    5	   435.93076	   305.51902	         ***	     ***
    6	   435.87103	   305.37712	         ***	     ***
    7	   435.89517	   305.29725	         ***	     ***
    8	    40.12183	    30.31362	         ***	     ***
    9	    40.40469	    29.25455	         ***	     ***
   10	    40.56401	    27.61858	         ***	     ***
   11	    39.99110	    25.38885	         ***	     ***
   12	    39.97475	    22.29168	         ***	     ***
   13	    28.18471	    20.67908	    18.01500	   0.825
   14	    34.01649	    20.33101	    18.39100	   0.004
   15	    31.98739	    17.86419	    15.89400	   0.840
   16	    29.78305	    17.49646	    15.64000	   0.842
   17	    36.94188	    15.96832	    14.30800	   0.859
   18	    31.00033	    15.87284	    14.34200	   0.862
   19	    25.30757	    15.58785	    14.42400	   0.875
   20	    35.61843	    14.47605	    13.01200	   0.869
   21	    33.32339	    14.33950	    13.06400	   0.878
   22	    31.46616	    13.65035	    12.37500	   0.876
   23	    32.58177	    13.16843	    11.89200	   0.876
   24	    24.90723	    12.65397	    11.85000	   0.845
   25	    26.85045	    10.70567	    10.38900	   0.863
   26	    29.82656	     7.83647	     8.05000	   0.883
