Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	793.64903	563.58073	***		***		***
2	435.87928	310.61653	***		***		***
3	435.62433	308.11820	***		***		***
4	78.96407	42.44731	***		***		***
5	46.45675	30.04700	***		***		***
6	72.06081	22.22732	***		***		***
7	55.63866	19.80605	19.80600	17.38200	0.817
8	55.63866	19.80605	19.80600	17.38200	0.817
9	42.56628	14.21572	14.21600	12.89000	0.866
10	37.80271	12.26978	12.27000	11.54600	0.904
11	37.80271	12.26978	12.27000	11.54600	0.904
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	795.01967	562.85748	***		***		***
2	435.96600	310.66671	***		***		***
3	437.18983	307.39274	***		***		***
4	74.94568	40.98775	***		***		***
5	49.43416	26.25287	***		***		***
6	70.04671	21.13840	***		***		***
7	48.05749	16.94575	16.94600	16.43200	0.861
8	48.05749	16.94575	16.94600	16.43200	0.861
9	38.57211	12.45520	12.45500	11.12800	0.870
