#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   602.12302	   423.99694	         ***	     ***
    2	   435.75653	   307.26940	         ***	     ***
    3	   435.73680	   307.07445	         ***	     ***
    4	   435.94034	   307.02531	         ***	     ***
    5	    58.57776	    33.22015	         ***	     ***
    6	    43.48347	    30.04842	         ***	     ***
    7	    40.18014	    24.24486	         ***	     ***
    8	    31.96143	    19.97498	    18.14800	   0.847
    9	    35.58093	    18.06129	    16.62500	   0.874
   10	    37.26986	    16.05597	    14.59600	   0.877
   11	    48.07460	    15.14428	    13.28500	   0.868
   12	    31.29290	    14.14837	    13.84000	   0.868
   13	    37.68369	    12.73387	    12.67200	   0.877
   14	    32.58822	    10.82115	    11.11000	   0.897
