#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   435.64482	   306.38317	         ***	     ***
    2	   435.65296	   306.37640	         ***	     ***
    3	   435.92396	   306.35738	         ***	     ***
    4	   435.98418	   306.06448	         ***	     ***
    5	   435.94918	   306.05305	         ***	     ***
    6	    45.36103	    29.72425	         ***	     ***
    7	    43.83194	    28.38139	         ***	     ***
    8	    44.89277	    26.39289	         ***	     ***
    9	    44.57571	    22.47495	         ***	     ***
   10	    35.63731	    19.29015	    17.34700	   0.850
   11	    38.60975	    17.53004	    15.83200	   0.863
   12	    25.97460	    16.47385	    15.32000	   0.881
   13	    25.97460	    16.47383	    15.32000	   0.881
   14	    28.12104	    12.91610	    12.33600	   0.851
   15	    28.12106	    12.91610	    12.33600	   0.851
   16	    31.11475	     9.48339	     9.72600	   0.888
   17	    31.11475	     9.48339	     9.72600	   0.888
