#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.42691	  2501.78881	         ***	     ***
    2	   436.06851	   308.03357	         ***	     ***
    3	   435.83076	   305.99754	         ***	     ***
    4	   509.05807	   243.31945	         ***	     ***
    5	   478.18773	   180.21081	         ***	     ***
    6	   478.28572	   180.19606	         ***	     ***
    7	   479.23602	   180.14866	         ***	     ***
    8	    43.50009	    29.91769	         ***	     ***
    9	    47.05676	    26.14217	         ***	     ***
   10	    41.50324	    21.05837	         ***	     ***
   11	    33.19454	    17.19779	    15.68700	   0.846
   12	    25.69234	    16.23771	    15.26400	   0.892
   13	    34.66943	    15.52276	    14.33200	   0.875
   14	    45.46495	    13.91258	    13.06500	   0.892
   15	    37.53095	    10.81127	    10.98100	   0.898
   16	    47.17758	     9.30371	     8.69700	   0.893
