Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	793.68422	557.84618	***		***		***
2	601.82794	427.40992	***		***		***
3	435.55614	306.98430	***		***		***
4	62.59724	37.06229	***		***		***
5	62.55027	35.15480	***		***		***
6	47.77367	23.06957	***		***		***
7	38.87051	21.22211	***		***		***
8	36.63790	21.21721	***		***		***
9	59.12215	17.00121	17.00100	14.68900	0.848
10	52.71675	15.15285	15.15300	11.99100	0.811
11	52.67860	14.42957	14.43000	12.26100	0.857
12	58.36665	10.38286	10.38300	8.67800	0.889
13	49.21470	6.92282		6.92300		5.48800		0.905
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.98065	557.13604	***		***		***
2	601.81692	427.25800	***		***		***
3	436.55537	305.87661	***		***		***
4	53.83950	35.83609	***		***		***
5	67.26630	33.94743	***		***		***
6	37.72505	20.97037	20.97000	19.87500	0.948
7	37.49860	20.72901	20.72900	19.62300	0.908
8	47.08988	20.41284	20.41300	18.92400	0.756
9	63.24391	15.29106	15.29100	13.64800	0.892
10	47.83596	11.11512	11.11500	10.56900	0.894
11	49.72889	10.95775	10.95800	10.41900	0.896
