#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.13215	   424.04363	         ***	     ***
    2	   435.94230	   306.04662	         ***	     ***
    3	    50.65753	    32.71383	         ***	     ***
    4	    38.88164	    24.40344	         ***	     ***
    5	    33.54609	    17.66171	    16.48900	   0.900
    6	    30.97116	    17.03419	    15.52100	   0.895
    7	    35.71348	    15.41046	    14.51600	   0.909
    8	    42.76408	    12.40238	    11.29700	   0.905
    9	    43.91510	    12.23059	    10.77800	   0.906
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   602.81705	   423.18473	         ***	     ***
    2	   435.87071	   306.12418	         ***	     ***
    3	    45.07041	    30.32788	         ***	     ***
    4	    39.80686	    23.48117	         ***	     ***
    5	    31.86633	    17.12266	    16.09600	   0.906
    6	    26.21673	    15.48067	    14.90000	   0.919
    7	    35.22411	    15.10877	    14.28900	   0.912
    8	    42.89007	    11.42609	    10.43300	   0.910
