Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.26066	559.37399	***		***		***
2	436.00750	306.58892	***		***		***
3	436.01629	306.58838	***		***		***
4	67.45811	37.44847	***		***		***
5	40.26352	26.37567	***		***		***
6	41.53979	23.85005	***		***		***
7	34.81969	18.01916	18.01900	16.27800	0.899
8	34.92040	17.75995	17.76000	16.34500	0.902
9	43.27846	17.42141	17.42100	16.26400	0.899
10	28.21168	14.98692	14.98700	14.19100	0.916
11	34.04259	14.31341	14.31300	13.52700	0.915
12	50.04925	13.17026	13.17000	11.96000	0.908
13	53.76883	11.57080	11.57100	10.09800	0.907
