#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  3297.35083	  2502.65968	         ***	     ***
    2	   435.93005	   306.40649	         ***	     ***
    3	   509.18158	   244.13580	         ***	     ***
    4	   478.80412	   181.42841	         ***	     ***
    5	   478.36466	   180.92943	         ***	     ***
    6	   479.42805	   180.88557	         ***	     ***
    7	    46.80854	    28.67348	         ***	     ***
    8	    51.72748	    23.40318	         ***	     ***
    9	    28.01214	    16.58344	    15.39900	   0.890
   10	    27.05653	    16.40000	    15.29300	   0.894
   11	    45.21648	    13.60904	    13.08700	   0.900
   12	    48.91954	    11.69758	    10.68900	   0.904
   13	    47.55889	    10.04179	     9.53800	   0.910
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  3297.54354	  2502.41266	         ***	     ***
    2	   435.90592	   306.43368	         ***	     ***
    3	   509.17728	   243.86605	         ***	     ***
    4	   478.34795	   180.79599	         ***	     ***
    5	   479.41009	   180.74505	         ***	     ***
    6	   477.57232	   180.32142	         ***	     ***
    7	    40.98935	    27.77561	         ***	     ***
    8	    55.29686	    21.61501	         ***	     ***
    9	    26.96295	    16.33676	    15.25100	   0.896
   10	    26.39575	    15.88620	    15.02000	   0.903
   11	    45.93791	    13.20585	    12.65800	   0.903
   12	    46.64287	     9.51696	     9.01800	   0.914
