#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   602.48621	   424.41030	         ***	     ***
    2	   435.17883	   308.77462	         ***	     ***
    3	    63.10935	    34.63977	         ***	     ***
    4	    46.95319	    19.93882	    18.04100	   0.882
    5	    52.03911	    15.59155	    13.89500	   0.897
    6	    35.80354	    14.49540	    14.87700	   0.923
    7	    35.80354	    14.49540	    14.87700	   0.923
#Beta orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   601.44078	   424.90316	         ***	     ***
    2	   436.22266	   307.40866	         ***	     ***
    3	    63.86466	    34.59411	         ***	     ***
    4	    56.52844	    16.72006	    15.23500	   0.882
    5	    41.38950	    14.71733	    14.45300	   0.904
    6	    41.38950	    14.71733	    14.45300	   0.904
