#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  2890.20201	  2176.82886	         ***	     ***
    2	   436.43325	   309.14791	         ***	     ***
    3	   431.82606	   205.08226	         ***	     ***
    4	   402.20565	   147.83764	         ***	     ***
    5	   402.31341	   147.73230	         ***	     ***
    6	   402.31341	   147.73230	         ***	     ***
    7	    48.15795	    26.24266	         ***	     ***
    8	    47.92657	    18.02406	    15.32100	   0.767
    9	    43.66192	    13.48272	    12.31300	   0.869
   10	    31.55432	    10.39690	    11.13900	   0.898
   11	    31.55432	    10.39690	    11.13900	   0.898
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  2890.34202	  2176.67552	         ***	     ***
    2	   436.66057	   308.78213	         ***	     ***
    3	   431.82636	   204.91992	         ***	     ***
    4	   402.00039	   147.47823	         ***	     ***
    5	   402.00039	   147.47823	         ***	     ***
    6	   401.64814	   147.39706	         ***	     ***
    7	    45.91083	    24.82005	         ***	     ***
    8	    50.61633	    14.83567	    14.57000	   0.870
    9	    29.77418	    10.42934	    10.85900	   0.883
   10	    29.77418	    10.42934	    10.85900	   0.883
