#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.41777	  2503.50702	         ***	     ***
    2	   436.51521	   309.05811	         ***	     ***
    3	   509.01110	   245.14232	         ***	     ***
    4	   478.37288	   182.01310	         ***	     ***
    5	   478.59174	   181.98545	         ***	     ***
    6	   478.59174	   181.98545	         ***	     ***
    7	    59.32466	    29.96940	         ***	     ***
    8	    58.40859	    18.85583	    17.19300	   0.812
    9	    44.00974	    12.81931	    11.67800	   0.868
   10	    40.92456	    12.60287	    12.99100	   0.906
   11	    40.92456	    12.60287	    12.99100	   0.906
