#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   600.86020	   424.63357	         ***	     ***
    2	   435.95019	   306.59172	         ***	     ***
    3	    59.45473	    34.58611	         ***	     ***
    4	    38.12620	    22.35516	         ***	     ***
    5	    32.41535	    19.00100	    17.03500	   0.850
    6	    51.10217	    16.06721	    14.24500	   0.877
    7	    39.58546	    13.94755	    13.43000	   0.892
    8	    44.38667	    12.15843	    10.72900	   0.904
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   603.07461	   423.53456	         ***	     ***
    2	   435.42487	   306.94142	         ***	     ***
    3	    54.76300	    32.13744	         ***	     ***
    4	    39.69276	    21.37427	         ***	     ***
    5	    27.66503	    17.07085	    16.53800	   0.914
    6	    50.02179	    14.46410	    12.86200	   0.886
    7	    32.60006	    12.71392	    12.87500	   0.917
