Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	3297.43135	2502.24732	***		***		***
2	436.04192	308.00579	***		***		***
3	509.08539	243.76610	***		***		***
4	478.25829	180.65329	***		***		***
5	478.24262	180.64513	***		***		***
6	479.30979	180.59109	***		***		***
7	50.43386	29.02176	***		***		***
8	47.70453	22.18376	***		***		***
9	28.17236	17.58800	17.58800	15.92700	0.819
10	50.89400	14.75189	14.75200	13.97400	0.890
11	36.02709	11.40154	11.40200	11.78900	0.904
12	46.84650	9.58948		9.58900		9.08500		0.901
