#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   793.91312	   562.25072	         ***	     ***
    2	   436.01242	   309.95606	         ***	     ***
    3	   435.49269	   306.94912	         ***	     ***
    4	    77.63038	    41.12234	         ***	     ***
    5	    46.45781	    29.38462	         ***	     ***
    6	    66.72395	    21.29941	         ***	     ***
    7	    40.47392	    19.16658	    17.72800	   0.873
    8	    53.98668	    18.81523	    16.33600	   0.809
    9	    51.95307	    17.67483	    15.78600	   0.826
   10	    37.97855	    11.91393	    11.19900	   0.899
   11	    37.80943	    11.37814	    10.78000	   0.886
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   794.71033	   561.83551	         ***	     ***
    2	   435.87816	   310.09745	         ***	     ***
    3	   436.42228	   306.46489	         ***	     ***
    4	    75.12903	    40.26521	         ***	     ***
    5	    47.76409	    27.53577	         ***	     ***
    6	    65.41661	    20.71532	    18.29300	   0.858
    7	    40.06060	    18.83123	    17.33800	   0.870
    8	    49.67030	    17.52884	    15.76900	   0.839
    9	    45.41210	    15.90574	    15.48900	   0.854
   10	    37.83164	    10.26653	    10.11600	   0.899
