#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.71559	   425.93948	         ***	     ***
    2	   435.42071	   308.94279	         ***	     ***
    3	   435.39864	   308.33913	         ***	     ***
    4	   436.22693	   306.86351	         ***	     ***
    5	    57.82836	    36.74160	         ***	     ***
    6	    50.80521	    30.22026	         ***	     ***
    7	    50.75307	    26.12865	         ***	     ***
    8	    37.20803	    21.62317	         ***	     ***
    9	    39.54892	    18.41789	    15.79300	   0.814
   10	    34.08052	    16.51666	    15.62300	   0.848
   11	    34.34847	    13.57260	    12.24900	   0.858
   12	    39.95472	    12.69003	    11.03600	   0.850
   13	    32.95987	    11.29751	    11.26800	   0.893
   14	    43.45122	    10.14704	     9.15400	   0.891
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.41425	   425.97937	         ***	     ***
    2	   436.37232	   308.07374	         ***	     ***
    3	   436.19537	   307.87550	         ***	     ***
    4	   436.49521	   306.77428	         ***	     ***
    5	    58.85064	    36.29177	         ***	     ***
    6	    51.55676	    28.13763	         ***	     ***
    7	    52.04148	    24.89371	         ***	     ***
    8	    33.89551	    20.29461	    18.63600	   0.856
    9	    37.91773	    16.75040	    15.43600	   0.845
   10	    39.51730	    14.84988	    14.14100	   0.873
   11	    38.89590	    12.26725	    10.54900	   0.845
   12	    32.55255	    10.74227	    10.70200	   0.887
