#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  3297.42346	  2502.87963	         ***	     ***
    2	   601.89494	   423.53061	         ***	     ***
    3	   436.00448	   308.18302	         ***	     ***
    4	   509.03442	   244.39517	         ***	     ***
    5	   478.00588	   181.29627	         ***	     ***
    6	   478.49514	   181.27047	         ***	     ***
    7	   479.21330	   181.24220	         ***	     ***
    8	    52.37199	    33.45907	         ***	     ***
    9	    54.62737	    27.79733	         ***	     ***
   10	    45.70514	    21.67498	         ***	     ***
   11	    34.26703	    19.51141	    17.80300	   0.851
   12	    44.50322	    16.03249	    14.90000	   0.882
   13	    47.87884	    13.97103	    12.93300	   0.881
   14	    34.72864	    13.65007	    13.05800	   0.866
   15	    46.16586	    11.77374	    10.56800	   0.883
   16	    46.26937	    10.00416	     9.73700	   0.899
