#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   793.52495	   562.89702	         ***	     ***
    2	   794.24104	   562.64564	         ***	     ***
    3	    74.98440	    43.31027	         ***	     ***
    4	    85.73271	    32.78050	         ***	     ***
    5	    58.23509	    21.21838	         ***	     ***
    6	    64.16943	    20.75720	    17.23100	   0.847
    7	    67.04091	    18.56845	    17.41200	   0.897
    8	    77.79828	    14.26530	    11.93100	   0.898
    9	    73.04946	    14.12880	    12.31700	   0.901
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   794.65721	   562.40934	         ***	     ***
    2	   795.65549	   561.80549	         ***	     ***
    3	    72.21853	    41.61459	         ***	     ***
    4	    80.66350	    29.99829	         ***	     ***
    5	    57.97677	    20.66180	    18.88400	   0.889
    6	    66.48825	    17.88656	    16.85500	   0.905
    7	    57.14271	    15.63463	    15.07500	   0.912
    8	    70.84863	    13.13431	    11.51000	   0.907
