#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  2890.27731	  2177.89818	         ***	     ***
    2	   794.53963	   559.84097	         ***	     ***
    3	   431.77068	   206.03028	         ***	     ***
    4	   401.52602	   148.70334	         ***	     ***
    5	   402.02943	   148.66448	         ***	     ***
    6	   402.65208	   148.62846	         ***	     ***
    7	    76.48704	    36.21789	         ***	     ***
    8	    53.66415	    21.40815	         ***	     ***
    9	    53.02569	    16.41862	    14.80300	   0.881
   10	    57.63633	    14.83246	    13.31500	   0.889
   11	    49.53882	    13.71198	    13.32300	   0.876
   12	    45.87236	    10.93816	    10.41900	   0.917
