#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.35034	  2503.19577	         ***	     ***
    2	   509.18700	   244.68081	         ***	     ***
    3	   478.81272	   181.97215	         ***	     ***
    4	   478.42921	   181.47423	         ***	     ***
    5	   479.44082	   181.42642	         ***	     ***
    6	    60.69551	    26.94017	         ***	     ***
    7	    42.72560	    15.05699	    14.62800	   0.913
    8	    49.37022	    12.83553	    11.99600	   0.913
    9	    46.89371	    10.94423	    10.65500	   0.920
#Beta orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.54273	  2502.95019	         ***	     ***
    2	   509.18373	   244.41232	         ***	     ***
    3	   478.42025	   181.34563	         ***	     ***
    4	   479.42833	   181.28707	         ***	     ***
    5	   477.59678	   180.86293	         ***	     ***
    6	    57.46917	    24.40924	         ***	     ***
    7	    44.14936	    14.52996	    14.07400	   0.917
    8	    45.84027	    10.37110	    10.08700	   0.925
