#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.43951	  2503.21344	         ***	     ***
    2	  3297.43913	  2503.21335	         ***	     ***
    3	   509.07110	   244.66100	         ***	     ***
    4	   509.18060	   244.65591	         ***	     ***
    5	   477.91717	   181.56074	         ***	     ***
    6	   478.08667	   181.55306	         ***	     ***
    7	   478.53620	   181.53021	         ***	     ***
    8	   478.58461	   181.52680	         ***	     ***
    9	   479.39018	   181.49712	         ***	     ***
   10	   479.38890	   181.49709	         ***	     ***
   11	    56.41647	    28.86535	         ***	     ***
   12	    60.09169	    24.15498	         ***	     ***
   13	    40.27258	    16.31178	    15.36400	   0.883
   14	    44.33938	    15.07386	    14.05900	   0.880
   15	    50.15412	    13.08133	    12.53700	   0.893
   16	    48.06995	    10.47622	     9.90600	   0.901
   17	    48.54487	    10.45666	     9.90800	   0.901
