#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.53352	   424.48345	         ***	     ***
    2	   601.23898	   424.19835	         ***	     ***
    3	    54.37398	    35.84278	         ***	     ***
    4	    52.83553	    27.49079	         ***	     ***
    5	    36.99562	    20.14062	    18.70800	   0.876
    6	    45.01041	    17.65412	    16.61200	   0.899
    7	    43.82059	    16.32536	    13.59700	   0.830
    8	    47.15494	    12.93632	    11.62200	   0.895
    9	    53.37399	     9.67615	     8.07300	   0.897
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.96727	   424.24372	         ***	     ***
    2	   602.76758	   423.39679	         ***	     ***
    3	    52.60902	    34.52205	         ***	     ***
    4	    49.17198	    25.57794	         ***	     ***
    5	    36.33006	    19.85090	    18.57600	   0.889
    6	    43.77082	    17.15904	    16.27400	   0.910
    7	    40.84347	    12.32921	    11.85200	   0.910
    8	    43.67183	    11.76258	    10.97300	   0.907
