#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   602.19179	   425.74856	         ***	     ***
    2	   602.20675	   425.74856	         ***	     ***
    3	   435.31872	   309.03993	         ***	     ***
    4	   436.24081	   308.94774	         ***	     ***
    5	   435.67468	   308.69386	         ***	     ***
    6	   435.73337	   308.69356	         ***	     ***
    7	    58.82313	    34.63090	         ***	     ***
    8	    59.69403	    34.53305	         ***	     ***
    9	    50.49350	    31.19004	         ***	     ***
   10	    48.06600	    27.06730	         ***	     ***
   11	    49.16455	    24.10526	         ***	     ***
   12	    55.85083	    16.89922	    14.37400	   0.836
   13	    55.54600	    16.84216	    14.33800	   0.837
   14	    30.83404	    16.28207	    15.52800	   0.830
   15	    30.83404	    16.28207	    15.52800	   0.830
   16	    35.88028	    14.73831	    14.42700	   0.834
   17	    35.88028	    14.73831	    14.42700	   0.834
   18	    37.33601	    11.90267	    12.23000	   0.876
   19	    37.33601	    11.90267	    12.23000	   0.876
