#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   602.21799	   425.58546	         ***	     ***
    2	   602.20648	   425.58543	         ***	     ***
    3	   435.39089	   308.88314	         ***	     ***
    4	   435.62567	   308.85196	         ***	     ***
    5	   436.03250	   308.75282	         ***	     ***
    6	   436.21648	   308.74651	         ***	     ***
    7	   435.75884	   308.59685	         ***	     ***
    8	   435.75811	   308.59682	         ***	     ***
    9	    58.75099	    34.30828	         ***	     ***
   10	    58.92732	    34.29563	         ***	     ***
   11	    48.63320	    31.75591	         ***	     ***
   12	    50.02256	    30.11471	         ***	     ***
   13	    47.57856	    27.01527	         ***	     ***
   14	    48.94311	    24.96909	         ***	     ***
   15	    48.38410	    22.97944	         ***	     ***
   16	    55.57213	    16.69266	    14.07100	   0.826
   17	    55.50693	    16.68428	    14.06600	   0.826
   18	    29.40555	    16.17028	    15.09400	   0.811
   19	    29.40555	    16.17028	    15.09400	   0.811
   20	    32.96205	    15.21903	    14.52000	   0.813
   21	    32.96205	    15.21903	    14.52000	   0.813
   22	    35.43464	    13.48672	    13.22300	   0.825
   23	    35.43464	    13.48672	    13.22300	   0.825
   24	    35.77421	    10.96782	    11.27600	   0.866
   25	    35.77421	    10.96782	    11.27600	   0.866
