#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   793.92490	   563.96251	         ***	     ***
    2	   793.92428	   563.96216	         ***	     ***
    3	   793.98792	   563.96022	         ***	     ***
    4	   602.49166	   434.95869	         ***	     ***
    5	    69.42163	    47.69963	         ***	     ***
    6	    79.21792	    41.00021	         ***	     ***
    7	    79.21779	    40.99961	         ***	     ***
    8	    84.42618	    26.51853	         ***	     ***
    9	    69.39260	    23.36391	         ***	     ***
   10	    69.39195	    23.36386	         ***	     ***
   11	    51.18933	    22.88600	         ***	     ***
   12	    71.48116	    18.06246	    14.96000	   0.801
   13	    71.48238	    18.06240	    14.96000	   0.801
   14	    78.23635	    16.81400	    13.07800	   0.810
   15	    67.19536	    15.91937	    13.92700	   0.799
   16	    67.19509	    15.91893	    13.92700	   0.799
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   795.07360	   563.38484	         ***	     ***
    2	   795.06827	   563.38449	         ***	     ***
    3	   795.11556	   563.38419	         ***	     ***
    4	   602.37220	   435.03858	         ***	     ***
    5	    67.71768	    47.06302	         ***	     ***
    6	    76.09251	    39.50522	         ***	     ***
    7	    76.09261	    39.50476	         ***	     ***
    8	    82.61820	    25.36937	         ***	     ***
    9	    50.05232	    22.84997	         ***	     ***
   10	    70.32149	    21.96070	         ***	     ***
   11	    70.32097	    21.96043	         ***	     ***
   12	    65.51631	    15.16131	    13.62400	   0.818
   13	    65.51623	    15.16099	    13.62400	   0.818
   14	    57.96322	    12.80435	    13.70800	   0.880
   15	    57.96349	    12.80410	    13.70800	   0.880
