#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.42433	  2503.27414	         ***	     ***
    2	   794.33985	   562.15045	         ***	     ***
    3	   436.07090	   311.28552	         ***	     ***
    4	   509.04531	   244.83276	         ***	     ***
    5	   477.89875	   181.74539	         ***	     ***
    6	   478.90864	   181.66852	         ***	     ***
    7	   478.90864	   181.66852	         ***	     ***
    8	    75.93024	    40.85507	         ***	     ***
    9	    59.51391	    29.74172	         ***	     ***
   10	    72.37614	    21.15919	         ***	     ***
   11	    50.28362	    17.87519	    16.09800	   0.813
   12	    50.28362	    17.87519	    16.09800	   0.813
   13	    60.52196	    17.34802	    16.25700	   0.878
   14	    49.21541	    11.48663	    11.35600	   0.902
   15	    49.21541	    11.48663	    11.35600	   0.902
