#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  2890.22588	  2177.88656	         ***	     ***
    2	   794.23623	   560.41986	         ***	     ***
    3	   431.84576	   206.06747	         ***	     ***
    4	   402.94656	   148.95165	         ***	     ***
    5	   401.44082	   148.65678	         ***	     ***
    6	   402.21713	   148.60644	         ***	     ***
    7	    78.12577	    36.96425	         ***	     ***
    8	    64.09990	    20.90011	    18.46300	   0.796
    9	    57.29872	    16.38223	    13.88900	   0.865
   10	    59.40885	    15.11843	    13.96600	   0.893
   11	    51.96463	    14.35561	    13.76100	   0.876
   12	    45.54737	     9.33960	     8.62200	   0.928
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  2890.34297	  2177.74030	         ***	     ***
    2	   794.88508	   560.06279	         ***	     ***
    3	   431.81379	   205.90034	         ***	     ***
    4	   401.45834	   148.59972	         ***	     ***
    5	   402.25332	   148.56780	         ***	     ***
    6	   401.99743	   148.18986	         ***	     ***
    7	    76.22024	    36.06554	         ***	     ***
    8	    66.52093	    19.34365	    17.61800	   0.876
    9	    55.79714	    14.04404	    13.49000	   0.913
   10	    50.27244	    13.94496	    13.52100	   0.882
   11	    51.64288	    13.60588	    12.97400	   0.889
