Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	3297.55611	2511.33217	***		***		***
2	794.49642	562.16231	***		***		***
3	794.49642	562.16229	***		***		***
4	794.45468	562.16098	***		***		***
5	509.48681	251.89627	***		***		***
6	478.94342	188.97170	***		***		***
7	479.07292	188.83976	***		***		***
8	479.07292	188.83976	***		***		***
9	74.18308	42.84256	***		***		***
10	80.45033	38.98899	***		***		***
11	80.45030	38.98899	***		***		***
12	84.74328	23.81391	***		***		***
13	69.36591	20.27719	20.27700	18.31700	0.879
14	69.36591	20.27719	20.27700	18.31700	0.879
15	53.22087	20.24418	20.24400	18.81700	0.870
16	63.42245	16.76477	16.76500	15.15500	0.888
17	63.42245	16.76477	16.76500	15.15500	0.888
18	59.03399	15.47884	15.47900	14.43700	0.881
19	59.03399	15.47884	15.47900	14.43700	0.881
20	69.01706	14.76340	14.76300	13.03800	0.889
