#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.48926	   305.69418	         ***	     ***
    2	   435.66833	   305.67805	         ***	     ***
    3	   435.66833	   305.67805	         ***	     ***
    4	   436.01468	   305.64324	         ***	     ***
    5	   436.01468	   305.64324	         ***	     ***
    6	   436.26492	   305.62629	         ***	     ***
    7	    39.25694	    31.39255	         ***	     ***
    8	    42.32835	    27.66524	         ***	     ***
    9	    42.32826	    27.66524	         ***	     ***
   10	    38.99133	    22.45892	         ***	     ***
   11	    38.99122	    22.45886	         ***	     ***
   12	    25.38079	    19.37263	    17.29300	   0.830
   13	    34.22526	    17.51583	    15.69100	   0.850
   14	    40.00604	    16.90407	    14.89700	   0.845
   15	    32.55535	    16.02990	    14.39600	   0.863
   16	    32.55532	    16.02987	    14.39600	   0.863
   17	    23.74544	    13.73016	    12.43500	   0.799
   18	    37.90973	    13.47184	    12.19200	   0.883
   19	    37.90968	    13.47176	    12.19200	   0.883
   20	    27.83521	     9.18950	     9.42900	   0.883
   21	    27.83515	     9.18950	     9.42900	   0.883
